lga_name,headquarters,latitude,longitude,coordinate_type,major_towns_communities,notable_places,important_institutions,source_1_name,source_1_type,source_1_link,source_2_name,source_2_type,source_2_link,source_3_name,source_3_type,source_3_link,source_date,last_checked,verification_status,limitations,owner
Ado Ekiti,Ado-Ekiti,7.621111,5.221389,Headquarters town centre,Ado-Ekiti,Fajuyi Memorial Park; Ewi of Ado-Ekiti's Palace,Ekiti State University; Afe Babalola University; Federal Polytechnic Ado-Ekiti,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.latlong.net/place/ado-ekiti-nigeria-24847.html,,,,Not specified,2026-09-21,Pending,Coordinates and listed places require independent review before publication,Akintade Daniel Emmanuel
Efon,Efon-Alaaye,7.656490,4.922350,Headquarters town centre,Efon-Alaaye,Efon hills,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geodatos.net/en/coordinates/nigeria/efon-alaaye,,,,Not specified,2026-09-21,Pending,Landmarks and coordinates require independent verification,Akintade Daniel Emmanuel
Ekiti East,Omuo-Ekiti,7.758330,5.722270,Headquarters town centre,Omuo-Ekiti; Isinbode-Ekiti; Ilasa-Ekiti,To be researched,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.mindat.org/feature-2325727.html,,,,Not specified,2026-09-21,Pending,Communities and coordinates require independent verification,Akintade Daniel Emmanuel
Ekiti South-West,Ilawe-Ekiti,7.600000,5.100000,Headquarters town centre,Ilawe-Ekiti,Alawe of Ilawe's Palace,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ilawe-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Headquarters information is supported by the official Ekiti State directory. Coordinates and landmark details remain pending.,Akintade Daniel Emmanuel
Ekiti West,Aramoko-Ekiti,7.711000,5.044000,Headquarters town centre,Aramoko-Ekiti; Ikogosi-Ekiti; Ipole-Iloro; Erijiyan-Ekiti,Ikogosi Warm Springs; Arinta Waterfall,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Aramoko-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Tourism sites and coordinates require independent verification,Akintade Daniel Emmanuel
Emure,Emure-Ekiti,7.450000,5.466667,Headquarters town centre,Emure-Ekiti,Elemure of Emure's Palace,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Emure-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Landmark and coordinates require independent verification,Akintade Daniel Emmanuel
Aiyekire,Ode-Ekiti,7.789000,5.711000,Headquarters town centre,Ode-Ekiti; Aisegba-Ekiti; Agbado-Ekiti; Iluomoba-Ekiti,To be researched,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government/aiyekire,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ode-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Ekiti State Government uses Aiyekire as the official LGA name. Gbonyin is also used in some government and public records. Coordinates remain approximate and pending review.,Akintade Daniel Emmanuel
Ido/Osi,Ido-Ekiti,7.846000,5.183000,Headquarters town centre,Ido-Ekiti; Ifaki-Ekiti; Usi-Ekiti; Ayetoro-Ekiti,To be researched,Federal Teaching Hospital Ido-Ekiti,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ido-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Institution and coordinates require independent verification,Akintade Daniel Emmanuel
Ijero,Ijero-Ekiti,7.815000,5.067000,Headquarters town centre,Ijero-Ekiti,To be researched,"Ekiti State College of Health Sciences and Technology, Ijero-Ekiti",Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ijero-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Institution and coordinates require independent verification,Akintade Daniel Emmanuel
Ikere,Ikere-Ekiti,7.498000,5.232000,Headquarters town centre,Ikere-Ekiti,Olosunta Hills; Orole Hills,"Bamidele Olumilua University of Education, Science and Technology",Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ikere-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,"Institution, landmarks and coordinates require independent verification",Akintade Daniel Emmanuel
Ikole,Ikole-Ekiti,7.797000,5.514000,Headquarters town centre,Ikole-Ekiti; Odo-Ayedun-Ekiti,To be researched,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Ikole-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Communities and coordinates require independent verification,Akintade Daniel Emmanuel
Ilejemeje,Eda-Oniyo-Ekiti,7.995000,5.126000,Headquarters town centre,Eda-Oniyo-Ekiti,To be researched,To be researched,Ekiti State Government Local Government and LCDAs directory,Official government source,https://www.ekitistate.gov.ng/about-ekiti/local-government,secondary geographic coordinate reference,secondary geographic database,https://www.geonames.org/search.html?q=Eda-Oniyo-Ekiti&country=NG,,,,Not specified,2026-09-21,Pending,Headquarters spelling and coordinates require confirmation,Akintade Daniel Emmanuel
