asset_id,asset_title,lga,location,description,media_type,file_name,github_path,source_name,source_url,creator_photographer,date_created,date_accessed,rights_permission,license,verification_status,attribution_required,attribution_text,cloudinary_public_id,cloudinary_url,limitations,owner
EK30-LGA-ADO-001,View of Ado-Ekiti from Fajuyi Park,Ado Ekiti,"Fajuyi Park, Ado-Ekiti, Ekiti State","General city view of Ado-Ekiti photographed from Fajuyi Park, showing a road, buildings, vegetation and the surrounding landscape.",Photograph,ado-ekiti-city-view-01.jpg,02_LGAs/media/ado-ekiti/ado-ekiti-city-view-01.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ado_Ekiti,_Nigeria.jpg",Blacadeyemi,2018-04-08,2026-09-24,Creative Commons,CC BY-SA 4.0,Pending,Yes,"Photograph by Blacadeyemi, licensed under CC BY-SA 4.0, via Wikimedia Commons.",,,The location description comes from the Wikimedia Commons record and still requires independent project review.,Akintade Daniel Emmanuel
EK30-LGA-ADO-002,Ekiti State LGA Map Highlighting Ado-Ekiti,Ado Ekiti,"Ekiti State, Nigeria","Map of Ekiti State showing its 16 Local Government Areas, with Ado-Ekiti LGA highlighted in dark green.",Map,ado-ekiti-lga-highlight-map-01.png,02_LGAs/media/ado-ekiti/ado-ekiti-lga-highlight-map-01.png,geoBoundaries,https://www.geoboundaries.org/countryDownloads.html,"Akintade Daniel Emmanuel / EKITI@30 DIGITAL, using geoBoundaries boundary data",2026-09-24,2026-09-24,Creative Commons,CC BY 4.0,Pending,Yes,"Map prepared by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data, licensed under CC BY 4.0.",,,The administrative boundaries come from an open third-party boundary dataset and are not official surveyed Ekiti State Government boundaries. Independent geographic review is required before publication.,Akintade Daniel Emmanuel
EK30-LGA-AIY-001,Aiyekire LGA Highlight Map,Aiyekire,"Aiyekire LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting the location of Aiyekire Local Government Area.,Map,aiyekire-lga-highlight-map-01.png,02_LGAs/media/aiyekire/aiyekire-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated for EKITI@30 DIGITAL from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Aiyekire/aiyekire-lga-highlight-map-01,,Illustrative LGA highlight map; boundaries require independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-AIY-002,Aisegba Post Office,Aiyekire,"Odo Ode Street, beside Aafin Market, Aisegba-Ekiti","Front view of the post-office building in Aisegba-Ekiti, Aiyekire LGA.",Photograph,aiyekire-aisegba-post-office-01.jpg,02_LGAs/media/aiyekire/aiyekire-aisegba-post-office-01.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Aisegba_Post_Office,_Odo_Ode_Street,_Ekiti_State.jpg",ItunuOlujinmi1234,2022-06-29,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Aisegba Post Office by ItunuOlujinmi1234, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Aiyekire/aiyekire-aisegba-post-office-01,,Location and description require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-EFO-001,Efon LGA Highlight Map,Efon,"Efon LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Efon Local Government Area.,Map,efon-lga-highlight-map-01.png,02_LGAs/media/efon/efon-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Efon/efon-lga-highlight-map-01,,Illustrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-EFO-002,Welcome to Efon-Alaaye Signboard,Efon,"Efon-Alaaye, Efon LGA, Ekiti State",Photograph of the welcome signboard at Efon-Alaaye.,Photograph,efon-welcome-signboard-01.jpg,02_LGAs/media/efon/efon-welcome-signboard-01.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Welcome_to_Efon-Alaye_signboard,_Ekiti_state.jpg",Jesu-loba,2021-06-30,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Welcome to Efon-Alaye signboard by Jesu-loba, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Efon/efon-welcome-signboard-01,,Exact signboard location requires independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-EKE-001,Ekiti East LGA Highlight Map,Ekiti East,"Ekiti East LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ekiti East Local Government Area.,Map,ekiti-east-lga-highlight-map-01.png,02_LGAs/media/ekiti-east/ekiti-east-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ekiti-East/ekiti-east-lga-highlight-map-01,,Illustrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-EKE-002,Area View of Omuo-Ekiti,Ekiti East,"Ita Iworo, Omuo-Ekiti, Ekiti State","Elevated area view showing part of Omuo-Ekiti, headquarters of Ekiti East LGA.",Photograph,ekiti-east-omuo-town-view-01.jpg,02_LGAs/media/ekiti-east/ekiti-east-omuo-town-view-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Area_View_of_Part_of_Omuo_Ekiti.jpg,Adebayokl,2019-12-26,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Area View of Part of Omuo Ekiti by Adebayokl, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ekiti-East/ekiti-east-omuo-town-view-01,,Town view and stated location require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-ESW-001,Ekiti South-West LGA Highlight Map,Ekiti South-West,"Ekiti South-West LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ekiti South-West Local Government Area.,Map,ekiti-south-west-lga-highlight-map-01.png,02_LGAs/media/ekiti-south-west/ekiti-south-west-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ekiti-South-West/ekiti-south-west-lga-highlight-map-01,,Illustrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-ESW-002,Ilawe-Ekiti Town and Hills,Ekiti South-West,"Ilawe-Ekiti, Ekiti State",Sectional view of homes in Ilawe-Ekiti surrounded by hills.,Photograph,ekiti-south-west-ilawe-town-view-01.jpg,02_LGAs/media/ekiti-south-west/ekiti-south-west-ilawe-town-view-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ilawe_-_Ekiti.jpg,DarryArtman,2022-04-12,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Ilawe - Ekiti by DarryArtman, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ekiti-South-West/ekiti-south-west-ilawe-town-view-01,,Town view and location require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-EKW-001,Ekiti West LGA Highlight Map,Ekiti West,"Ekiti West LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ekiti West Local Government Area.,Map,ekiti-west-lga-highlight-map-01.png,02_LGAs/media/ekiti-west/ekiti-west-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ekiti-West/ekiti-west-lga-highlight-map-01,,Illustrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-EKW-002,Aramoko-Ekiti Roundabout,Ekiti West,"Aramoko-Ekiti, Ekiti State","Photograph of the roundabout in Aramoko-Ekiti, headquarters of Ekiti West LGA.",Photograph,ekiti-west-aramoko-roundabout-01.jpg,02_LGAs/media/ekiti-west/ekiti-west-aramoko-roundabout-01.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Aramoko-Ekiti_Roundabout,_Aramoko-Ekiti,_Ekiti_state.jpg",MediaMOF,2021-06-30,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Aramoko-Ekiti Roundabout by MediaMOF, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ekiti-West/ekiti-west-aramoko-roundabout-01,,Description and location require independent editorial verification.,Akintade Daniel Emmanuel
EK30-LGA-EMU-001,Emure LGA Highlight Map,Emure,"Emure LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Emure Local Government Area.,Map,emure-lga-highlight-map-01.png,02_LGAs/media/emure/emure-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Emure/emure-lga-highlight-map-01,,Illustrative boundary map requiring independent verification. A suitable primary Emure photograph remains unresolved.,Akintade Daniel Emmanuel
EK30-LGA-IOS-001,Ido/Osi LGA Highlight Map,Ido/Osi,"Ido/Osi LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ido/Osi Local Government Area.,Map,ido-osi-lga-highlight-map-01.png,02_LGAs/media/ido-osi/ido-osi-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ido-Osi/ido-osi-lga-highlight-map-01,,Illustrative boundary map requiring independent verification before publication.,Akintade Daniel Emmanuel
EK30-LGA-IOS-002,"Ancient Ogun Shrine, Usi-Ekiti",Ido/Osi,"Usi-Ekiti, Ekiti State",Photograph of the ancient Ogun shrine in Usi-Ekiti.,Photograph,ido-osi-usi-ogun-shrine-01.jpg,02_LGAs/media/ido-osi/ido-osi-usi-ogun-shrine-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ogun_Shrine.jpg,Agbebiyi Adekunle,2019-06-13,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 4.0,Pending,Yes,"Ogun Shrine by Agbebiyi Adekunle, licensed under CC BY-SA 4.0 via Wikimedia Commons.",EKITI30/LGAs/Ido-Osi/ido-osi-usi-ogun-shrine-01,,"Cultural significance, description and location require independent editorial verification.",Akintade Daniel Emmanuel
EK30-LGA-IJE-001,Ijero LGA Highlight Map,Ijero,"Ijero LGA, Ekiti State, Nigeria",Map of Ekiti State highlighting Ijero Local Government Area.,Map,ijero-lga-highlight-map-01.png,02_LGAs/media/ijero/ijero-lga-highlight-map-01.png,geoBoundaries; EKITI@30 DIGITAL,https://www.geoboundaries.org/,Akintade Daniel Emmanuel,2026-09-24,2026-09-24,Generated from openly licensed geographic boundary data,CC BY 4.0,Pending,Yes,Map created by Akintade Daniel Emmanuel for EKITI@30 DIGITAL using geoBoundaries data.,EKITI30/LGAs/Ijero/ijero-lga-highlight-map-01,,Illustrative boundary map requiring independent verification.,Akintade Daniel Emmanuel
EK30-LGA-IJE-002,Ako Eegun of Ijero-Ekiti,Ijero,"Ijero-Ekiti, Ekiti State",Ako Eegun masquerade associated with the annual Ogun Festival in Ijero-Ekiti.,Photograph,ijero-ako-eegun-festival-01.jpg,02_LGAs/media/ijero/ijero-ako-eegun-festival-01.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ako_Eegun_of_Ijero_Ekiti.jpg,Aowoseni,2012-08-18,2026-09-24,Reuse permitted under the stated Creative Commons licence,CC BY-SA 3.0,Pending,Yes,"Ako Eegun of Ijero Ekiti by Aowoseni, CC BY-SA 3.0, via Wikimedia Commons.",EKITI30/LGAs/Ijero/ijero-ako-eegun-festival-01,,Festival context requires independent editorial and cultural review.,Akintade Daniel Emmanuel
