id,date_display,date_start,date_end,date_precision,date_basis,event_title,description,category,evidence_type,source,source_link,source_type,verification_status,claim_source_map,unconfirmed_details,claims_and_disputes,notes_limitations,additional_sources
EK-001,1 Oct 1996,1996-10-01,none,day,confirmed,Ekiti State created from Ondo State,"Ekiti State was created out of Ondo State on 1 October 1996, with Ado-Ekiti as its capital. The state government says it was created alongside five other states and began with 16 Local Government Areas.",Government,official_statement,Ekiti State Government: About Ekiti,https://www.ekitistate.gov.ng/?p=444,Government website,Verified,"Creation date, parent state: state past-governors page. Capital, five other states, 16 LGAs: state About page.",none,none,Population figures on the state About page differ from other sources; see EK-008.,https://www.ekitistate.gov.ng/about-ekiti/past-governors
EK-002,7 Oct 1996 - Aug 1998,1996-10-07,1998-08,range,confirmed (start day); month only for end,Lt. Col. Mohammed Bawa becomes first military administrator,"Lt. Col. Mohammed Bawa was the first Administrator of Ekiti State, serving from 7 October 1996 to August 1998.",Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,"The official list gives his rank as Lt. Col.; Wikipedia says Colonel, possibly a later rank. Use the official form.",https://en.wikipedia.org/wiki/Mohammed_Bawa
EK-004,Jul 1998,1998-07,none,month,stated_by_source,"Federal Medical Centre, Ido-Ekiti established","The Federal Medical Centre in Ido-Ekiti was established in July 1998 from the Ido-Ekiti General Hospital, which dated from 1954.",Health,institutional_statement,"Afe Babalola University: Background History of the Federal Medical Centre, Ido-Ekiti",https://www.abuad.edu.ng/hospital-facilities/,Institutional website,Needs primary source,none,Both the July 1998 date and the 1954 origin come from a note hosted on ABUAD's site; the hospital's own page has not been located.,none,Locate the original on fethi.gov.ng or a federal source.,"https://en.wikipedia.org/wiki/Federal_Teaching_Hospital,_Ido_Ekiti"
EK-003,Aug 1998 - 29 May 1999,1998-08,1999-05-29,range,confirmed (month for start),Navy Capt. Atanda Yusuf becomes administrator,Navy Captain Atanda Yusuf was Administrator of Ekiti State from August 1998 until civilian rule began on 29 May 1999.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,none,https://en.wikipedia.org/wiki/Atanda_Yusuf
EK-005,29 May 1999 - 29 May 2003,1999-05-29,2003-05-29,range,confirmed,Niyi Adebayo becomes first elected civilian governor,"Otunba Niyi Adebayo of the Alliance for Democracy was Ekiti's first elected civilian governor, serving from 29 May 1999 to 29 May 2003.",Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,none,none,none,https://en.wikipedia.org/wiki/Niyi_Adebayo
EK-006,1 Jun 1999,1999-06-01,none,day,stated_by_source,State House of Assembly complex inaugurated,"The complex housing the Ekiti State House of Assembly, built during Atanda Yusuf's time as administrator, was inaugurated by Governor Adebayo.",Infrastructure,reference_work,"Wikipedia: Atanda Yusuf (citing ThisDay, 9 Jan 2010)",https://en.wikipedia.org/wiki/Atanda_Yusuf,Reference (Wikipedia),Needs primary source,none,"Whole claim, including the date and who built and inaugurated it, rests on a Wikipedia page that cites a ThisDay article.",none,Find the original ThisDay article or an Assembly source.,none
EK-007,29 May 2003 - 19 Oct 2006,2003-05-29,2006-10-19,range,confirmed,Ayo Fayose becomes governor (first term),Ayo Fayose of the PDP took office on 29 May 2003 after defeating Niyi Adebayo. The official list gives the end of this tenure as 19 October 2006.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,Start and end dates: state past-governors list. Defeat of Adebayo: THISDAY (2017).,none,none,none,https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/ | https://en.wikipedia.org/wiki/Ayo_Fayose
EK-008,21-27 Mar 2006,2006-03-21,2006-03-27,range,confirmed,National population census conducted; Ekiti totals reported differently,The national census was conducted between 21 and 27 March 2006. Sources give three different population totals for Ekiti State.,Other,official_record,Federal Government of Nigeria Gazette (2 Feb 2009),https://archive.gazettes.africa/archive/ng/2009/ng-government-gazette-dated-2009-02-02-no-2.pdf,Official gazette,Conflicting sources,Census dates: 2009 federal gazette.,Which Ekiti total is correct.,"Ekiti State Government says 2,384,212; CityPopulation (citing NPC/NBS) shows 2,398,957; Wikipedia shows 2,210,957.",No figure is selected here. Obtain the NPC state table before publishing any Ekiti population figure.,https://www.ekitistate.gov.ng/?p=444 | https://citypopulation.de/en/nigeria/admin/NGA013__ekiti/
EK-009,Oct 2006 (day disputed),2006-10,none,month,disputed,Governor Fayose impeached by the House of Assembly,The Ekiti State House of Assembly impeached Governor Ayo Fayose in October 2006. The state's official list says the Federal Government declared his brief replacement by the Speaker illegal.,Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Conflicting sources,"Official list: impeachment on 16 October, replacement declared illegal. SaharaReporters (15 Oct 2006) and THISDAY (2017): 15 October. Naija News (2026): 16 October citing state records.",Exact day (15 or 16 October).,Some reports describe the impeachment as controversial. On 14 April 2015 the Supreme Court dismissed the appeal against Fayose's 2014 victory; reports say it held impeachment is not a ground for disqualification and that the impeachment panel was illegally constituted (see EK-024).,Neither day is selected; the month is the only established precision.,https://saharareporters.com/2006/10/15/breaking-news-fayose-and-deputy-olujimi-impeached-his-whereabouts-still-unknown | https://www.thisdaylive.com/2017/05/31/the-judiciary-as-an-impediment/ | https://www.naijanews.com/2026/09/09/full-list-of-nigerian-governors-who-have-been-impeached/
EK-010,19 Oct 2006 - 27 Apr 2007,2006-10-19,2007-04-27,range,confirmed,Tunji Olurin appointed administrator after state of emergency,"Tunji Olurin served as Administrator of Ekiti State from 19 October 2006 to 27 April 2007, appointed after a state of emergency was declared in the state.",Government,official_record,Ekiti State Government: Past Governors,https://www.ekitistate.gov.ng/about-ekiti/past-governors,Government website,Verified,none,"Wikipedia adds that President Obasanjo declared the emergency, suspended the governor, deputy governor and Assembly, and that the National Assembly ratified it on 26 October 2006; none of that is confirmed here.",none,Removed from the description on purpose; needs a Presidency or National Assembly source.,https://en.wikipedia.org/wiki/Tunji_Olurin
