doc_id,source_title,source_url,class,tier,last_verified,ingestible
EK-EDU-000,EKITI@30 Education Sector Section Overview,,education,A,2026-09-25,no
EK-EDU-TIMELINE,Ekiti State Education Timeline 1996-2026,,education,mixed,2026-09-25,no
EK-EDU-001,Ministry of Education established after state creation,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-education-science-and-technology,education,A,2026-09-25,no
EK-EDU-002,Christ's School Ado-Ekiti heritage record,https://www.ekitistate.gov.ng/archives/8112,education,A/B,2026-09-25,no
EK-EDU-003,Ekiti State University institutional history,https://eksu.edu.ng/about-eksu/,education,A,2026-09-25,no
EK-EDU-004,Federal University Oye-Ekiti established 2011,https://old.fuoye.edu.ng/welcome-to-fuoye/,education,A,2026-09-25,no
EK-EDU-005,Afe Babalola University institutional history,https://www.abuad.edu.ng/office-of-the-founder/,education,A,2026-09-25,no
EK-EDU-006,BOUESTI established following College of Education upgrade,https://bouesti.edu.ng/history/,education,A,2026-09-25,no
EK-EDU-007,Federal Polytechnic Ado-Ekiti record,https://education.gov.ng/government-polytechnics/,education,A,2026-09-25,no
EK-EDU-008,Education Development Levy introduced 2015,https://www.vanguardngr.com/2018/10/breaking-fayemi-declares-free-education-in-ekiti/,education,B,2026-09-25,no
EK-EDU-009,Education levy abolished and free education order 2018,https://guardian.ng/news/fayemi-signs-executive-order-for-free-education-in-ekiti/,education,B,2026-09-25,no
EK-EDU-010,Ekiti Kete Meals school feeding launch 2019,https://statehouse.gov.ng/govt-must-support-those-who-function-at-bottom-of-pyramid-says-osinbajo/,education,A/B,2026-09-25,no
EK-EDU-011,Africa Check review of Ekiti enrolment claims,https://africacheck.org/fact-checks/reports/fact-check-nigeria-state-governors-claims-about-stellar-education-record-not,education,B,2026-09-25,no
EK-EDU-012,2023-2024 Annual School Census ECCDE summary,https://ekitistate.gov.ng/wp-content/uploads/2025/Edu/2023-2024%20Ekiti%20ASCE.pdf,education,A,2026-09-25,no
EK-EDU-013,Oyebanji education spending/recruitment figures,https://www.premiumtimesng.com/news/top-news/745916-ekiti-spends-n14-billion-on-renovation-construction-in-203-schools-oyebanji.html,education,C,2026-09-25,no
EK-EDU-014,KOICA-UBEC Smart School programme,https://ubec.gov.ng/ubec-receives-1662-educational-videos-for-smart-schools-from-koica/,education,A,2026-09-25,no
EK-EDU-015,World Bank AGILE project includes Ekiti,https://www.worldbank.org/en/news/press-release/2020/07/28/nigeria-to-boost-support-for-keeping-adolescent-girls-in-school,education,A,2026-09-25,no
EK-EDU-016,AfDB US$80m Ekiti Knowledge Zone financing,https://www.afdb.org/en/news-and-events/press-releases/catalyzing-digital-innovation-african-development-bank-commits-80-million-ekiti-knowledge-zone-project-nigeria-68862,education,A,2026-09-25,no
EK-EDU-017,Ekiti State Polytechnic statutory name,https://hoa.ekitistate.gov.ng/dashboard/doc/No.%2018%20of%202021%20-%20EKITI%20STATE%20COLLEGE%20OF%20AGRICULTURE%20AND%20TECHNOLOGY.pdf,education,A,2026-09-25,no
EK-EDU-018,Venite University established 2022,https://ecampus.veniteuniversity.edu.ng/,education,A,2026-09-25,no
EK-EDU-019,Crown Polytechnic institutional record,https://www.crownpolytechnic.edu.ng/,education,A,2026-09-25,no
EK-EDU-GAPS,Education section gaps and follow-ups,,education,,2026-09-25,no
EK-EDU-INST-EKSU,EKSU institutional record,https://eksu.edu.ng/about-eksu/,education,A,2026-09-25,no
EK-EDU-INST-FUOYE,FUOYE institutional record,https://old.fuoye.edu.ng/welcome-to-fuoye/,education,A,2026-09-25,no
EK-EDU-INST-ABUAD,ABUAD institutional record,https://www.abuad.edu.ng/office-of-the-founder/,education,A,2026-09-25,no
EK-EDU-INST-BOUESTI,BOUESTI institutional record,https://bouesti.edu.ng/history/,education,A,2026-09-25,no
EK-EDU-INST-FEDPOLY,Federal Polytechnic Ado-Ekiti institutional record,https://education.gov.ng/government-polytechnics/,education,A,2026-09-25,no
EK-EDU-INST-CHRISTS-SCHOOL,Christ's School institutional heritage record,https://www.ekitistate.gov.ng/archives/8112,education,A/B,2026-09-25,no
EK-EDU-POLICY-FREE-ED,Free education and levy policy history,,education,mixed,2026-09-25,no
EK-EDU-DATA-ASCE-2023-24,2023-2024 Annual School Census verified summary,https://ekitistate.gov.ng/wp-content/uploads/2025/Edu/2023-2024%20Ekiti%20ASCE.pdf,education,A,2026-09-25,no
