source_title,url
Ekiti State Government — Ministry of Health and Human Services,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-health-and-human-services
Ekiti State Government — Hospitals Management Board,https://www.ekitistate.gov.ng/executive-council/mdas/hospitals-management-board
Ekiti State Government — Primary Health Care Development Agency Law 2012,https://www.ekitistate.gov.ng/archives/5006
Ekiti State Government — EKHIS,https://www.ekitistate.gov.ng/executive-council/mdas/ekiti-state-health-insurance-scheme
Ekiti State Government — 2012 health scorecard,https://www.ekitistate.gov.ng/archives/4544
Ekiti State Government — ORAH 2013,https://www.ekitistate.gov.ng/archives/8707
Ekiti State Government — Oba Adejugbe Hospital 2014,https://www.ekitistate.gov.ng/archives/11716
Ekiti State Government — COVID response,https://www.ekitistate.gov.ng/coronavirus
Ekiti State Government — COVID GIS response hub,https://www.ekitistate.gov.ng/archives/20607
Ekiti State Government — Ikole FMC MoU,https://www.ekitistate.gov.ng/archives/28922
Ekiti State Government — nine-hospital renovation/equipment,https://www.ekitistate.gov.ng/archives/27922
Ekiti State Government — Ulerawa/free health 2024,https://www.ekitistate.gov.ng/archives/29019
Ekiti State Government — 80-bed EKSUTH facility,https://www.ekitistate.gov.ng/archives/29579
Ekiti State Government — pharma-grade warehouse/103 PHCs,https://www.ekitistate.gov.ng/archives/31893
Ekiti State Government — April 2026 health renovation/solar,https://www.ekitistate.gov.ng/archives/32935
Ekiti State Government — August 2026 EKSUTH water/power,https://www.ekitistate.gov.ng/archives/33556
Ekiti State Government — September 2026 hospital approvals,https://www.ekitistate.gov.ng/archives/33742
Ekiti State Government — September 2026 project inspection,https://www.ekitistate.gov.ng/archives/33676
Ekiti State Government — 2026 Q1 budget performance,https://ekitistate.gov.ng/wp-content/uploads/2026/Ekiti_State_Q1_2026_BIR_Publication.pdf
Federal Ministry of Health — State of Health of the Nation 2024,https://fmohconnect.gov.ng/wp-content/uploads/2025/05/The-State-of-Health-of-the-Nation-Report-2024.pdf
EKSUTH official history,https://eksuth.org.ng/about
EKSUTH Department of Medicine/history,https://www.eksuth.org.ng/department/Medicine
Federal Teaching Hospital Ido-Ekiti,https://fethi.gov.ng/about.php
Federal Medical Centre Ikole-Ekiti history,https://fmcikoleekiti.gov.ng/history-of-hospital/
EKSU Faculty of Clinical Sciences,https://clinical.eksu.edu.ng/about-us/
Ekiti State Bureau of Public Procurement,https://ocds.bpp.ekitistate.gov.ng/Home/Procurements
