doc_id,path,source_title,source_url,class,tier,last_verified,ingestible
,GAPS.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
,INTEGRATION_NOTES.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
,README.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-001,current_projects/EK-HEA-CP-001_EKSUTH_80_Bed_Multipurpose_Facility.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-002,current_projects/EK-HEA-CP-002_Ikogosi_Awo_Ipao_Hospitals.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-003,current_projects/EK-HEA-CP-003_Nine_General_Hospitals_Renovation_Solar_Equipment.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-004,current_projects/EK-HEA-CP-004_103_PHC_Revitalisation.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-005,current_projects/EK-HEA-CP-005_FMC_Ikole_Upgrade.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-006,current_projects/EK-HEA-CP-006_Pharmacy_Warehouse_Modernisation.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-CP-007,current_projects/EK-HEA-CP-007_EKSUTH_Power_Infrastructure.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-HEALTH-FACILITY-LANDSCAPE,data/EK-HEA-HEALTH-FACILITY-LANDSCAPE.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
,docs/RESEARCH_METHOD.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-001,institutions/EK-HEA-INST-001_Ekiti_Ministry_of_Health_and_Human_Services.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-002,institutions/EK-HEA-INST-002_Primary_Health_Care_Development_Agency.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-003,institutions/EK-HEA-INST-003_Hospitals_Management_Board.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-004,institutions/EK-HEA-INST-004_EKSUTH.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-005,institutions/EK-HEA-INST-005_Federal_Teaching_Hospital_Ido_Ekiti.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-006,institutions/EK-HEA-INST-006_Federal_Medical_Centre_Ikole_Ekiti.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-007,institutions/EK-HEA-INST-007_Ekiti_State_Health_Insurance_Scheme.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-008,institutions/EK-HEA-INST-008_Drug_Management_Agency.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-009,institutions/EK-HEA-INST-009_EKSU_College_of_Medicine.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-INST-010,institutions/EK-HEA-INST-010_Bureau_of_Statistics_Health_Data.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-001,programmes/EK-HEA-PROG-001_Ulerawa_Health_Programme.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-002,programmes/EK-HEA-PROG-002_BHCPF.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-003,programmes/EK-HEA-PROG-003_Free_Health_Missions.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-004,programmes/EK-HEA-PROG-004_Operation_Renovate_All_Hospitals.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-005,programmes/EK-HEA-PROG-005_IMPACT_103_PHC_Revitalisation.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-006,programmes/EK-HEA-PROG-006_Maternal_Newborn_Child_Health.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-007,programmes/EK-HEA-PROG-007_Immunisation_Nutrition.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-008,programmes/EK-HEA-PROG-008_HIV_TB_STI.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-009,programmes/EK-HEA-PROG-009_Malaria.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-010,programmes/EK-HEA-PROG-010_Emergency_Preparedness_and_Response.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-011,programmes/EK-HEA-PROG-011_NCD_Cancer_Sickle_Cell.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-012,programmes/EK-HEA-PROG-012_Health_Workforce_and_Training.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-013,programmes/EK-HEA-PROG-013_Drug_and_Commodity_Security.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-PROG-014,programmes/EK-HEA-PROG-014_Digital_Health_and_Data.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-SNAPSHOT-2024,sector_snapshots/EK-HEA-SNAPSHOT-2024_State_of_Health.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-SNAPSHOT-2026,sector_snapshots/EK-HEA-SNAPSHOT-2026_Budget_and_Current_System.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-001,timeline/EK-HEA-TL-001.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-002,timeline/EK-HEA-TL-002.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-003,timeline/EK-HEA-TL-003.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
EK-HEA-TL-004,timeline/EK-HEA-TL-004.md,Ekiti State Health Sector KB,,health_knowledge,primary/official+secondary,2026-09-25,yes
