doc_id,source_title,source_url,class,tier,last_verified,ingestible
EK-AGR-000,EKITI@30 Agriculture Sector Section Overview,,agriculture,A,2026-09-25,no
EK-AGR-TIMELINE,Ekiti State Agriculture Timeline 1996-2026,,agriculture,mixed,2026-09-25,no
EK-AGR-001,Agriculture over 75 percent of Ekiti employment,https://www.ekitistate.gov.ng/about-ekiti,agriculture,B,2026-09-25,no
EK-AGR-002,Ikun Dairy Farm established 1980,https://allafrica.com/stories/201002170166.html,agriculture,B,2026-09-25,no
EK-AGR-003,Ekiti State ADP reconstituted 1 Oct 1996,https://www.researchgate.net/publication/273035534_Impacts_of_Agricultural_Development_Programme_ADP_on_Rural_Dwellers_in_Nigeria_A_Study_of_Isan-Ekiti,agriculture,B,2026-09-25,no
EK-AGR-004,Ekiti cocoa 1970s golden era claim,https://dailytrust.com/ekiti-offers-50-subsidy-to-farmers-on-cocoa-cashew-oil-palm-seedlings/,agriculture,C,2026-09-25,no
EK-AGR-005,2017 70 million cocoa seedlings plan,https://businessday.ng/agriculture/article/ekiti-set-raise-70m-cocoa-seedlings-farmers/,agriculture,B,2026-09-25,no
EK-AGR-006,YCAD established 2011,https://www.researchgate.net/publication/373093518_Youth_Commercial_Agricultural_Development_Programme_and_Unemployment_Reduction_in_Ekiti_State_2017-2021,agriculture,C,2026-09-25,no
EK-AGR-007,Ikun Dairy Farm Promasidor PPP signed 2019,https://www.ekitistate.gov.ng/archives/22727,agriculture,B,2026-09-25,no
EK-AGR-008,CBN Anchor Borrowers rice financing Ekiti,https://www.ekitistate.gov.ng/archives/22817,agriculture,C,2026-09-25,no
EK-AGR-009,Ekiti Agro-Allied Cargo Airport commercial ops approved,https://nigeriastories.com/2025/10/07/fg-approves-commercial-flight-operations-at-ekiti-agro-allied-international-cargo-airport/,agriculture,B,2026-09-25,no
EK-AGR-010,Ikun Dairy Farm largest in Nigeria by 2026,https://promasidor.com/en/blog/inside-promasidor-nigerias-ikun-dairy-farm/,agriculture,C,2026-09-25,no
EK-AGR-011,Tractorisation Support Scheme 50 percent subsidy 2026,https://x.com/iMotivateAfrica/status/2046648205853511817,agriculture,B,2026-09-25,no
EK-AGR-012,Ekiti agro-trading company registered late 2024,https://tribuneonlineng.com/food-security-ekiti-govt-floats-agro-trading-company/,agriculture,B,2026-09-25,no
EK-AGR-013,Cocoa cashew oil palm 50 percent subsidy scheme,https://dailytrust.com/ekiti-offers-50-subsidy-to-farmers-on-cocoa-cashew-oil-palm-seedlings/,agriculture,B,2026-09-25,no
EK-AGR-014,10 million cocoa seedlings USDA TRACE CRIN IITA,https://leadership.ng/ekiti-moves-to-raise-10m-cocoa-seedlings-in-10-years/,agriculture,B,2026-09-25,no
EK-AGR-015,L-PRES livestock infrastructure agro-met stations,https://tribuneonlineng.com/food-security-oyebanji-approves-installation-of-three-agro-meteorological-stations-in-ekiti/,agriculture,B,2026-09-25,no
EK-AGR-016,Ekiti Broiler Production Scheme expansion 2026,https://www.foodbusinessmea.com/nigerias-ekiti-state-expands-poultry-programme-as-state-targets-larger-share-of-nigerias-chicken-market/,agriculture,B,2026-09-25,no
EK-AGR-017,Ministry of Agriculture and Food Security structure,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-agriculture-and-rural-development,agriculture,A,2026-09-25,no
EK-AGR-INST-ADP,Ekiti State ADP institutional record,https://www.researchgate.net/publication/273035534_Impacts_of_Agricultural_Development_Programme_ADP_on_Rural_Dwellers_in_Nigeria_A_Study_of_Isan-Ekiti,agriculture,B,2026-09-25,no
EK-AGR-INST-IKUNDAIRY,Ikun Dairy Farm institutional record,https://promasidor.com/en/blog/inside-promasidor-nigerias-ikun-dairy-farm/,agriculture,B,2026-09-25,no
EK-AGR-INST-CARGOAIRPORT,Ekiti Agro-Allied Cargo Airport institutional record,https://www.ekitistate.gov.ng/archives/23873,agriculture,B,2026-09-25,no
EK-AGR-PROG-COCOA,Cocoa revival programme 1970s-2026,https://leadership.ng/ekiti-moves-to-raise-10m-cocoa-seedlings-in-10-years/,agriculture,B,2026-09-25,no
EK-AGR-PROG-YCAD,YCAD programme,https://www.researchgate.net/publication/373093518_Youth_Commercial_Agricultural_Development_Programme_and_Unemployment_Reduction_in_Ekiti_State_2017-2021,agriculture,C,2026-09-25,no
EK-AGR-PROG-ABPRICE,CBN Anchor Borrowers rice financing programme,https://www.ekitistate.gov.ng/archives/22817,agriculture,C,2026-09-25,no
EK-AGR-PROG-TRACTOR,Tractorisation Support Scheme programme,https://x.com/iMotivateAfrica/status/2046648205853511817,agriculture,B,2026-09-25,no
EK-AGR-PROG-LPRES,L-PRES livestock programme,https://www.ekitistate.gov.ng/executive-council/mdas/ministry-of-agriculture-and-rural-development,agriculture,B,2026-09-25,no
EK-AGR-PROG-POULTRY,Poultry broiler scheme programme,https://www.foodbusinessmea.com/nigerias-ekiti-state-expands-poultry-programme-as-state-targets-larger-share-of-nigerias-chicken-market/,agriculture,B,2026-09-25,no
EK-AGR-DATA-001,Agriculture sector snapshot figures,,agriculture,B,2026-09-25,no
EK-AGR-GAPS,Agriculture gaps and follow-ups,,agriculture,n/a,2026-09-25,no
