doc_id,file_path,class,tier,last_verified,ingestible
EK-STA-000,09_Statistics/README.md,statistics,A,2026-09-25,no
EK-STA-000-INT,09_Statistics/INTEGRATION_NOTES.md,statistics,A,2026-09-25,no
EK-STA-000-GAP,09_Statistics/GAPS.md,statistics,A,2026-09-25,no
EK-STA-000-RES,09_Statistics/docs/RESEARCH_METHOD.md,statistics,A,2026-09-25,no
EK-STA-DATA-001,09_Statistics/data/EK-STA-DATA-001_Ekiti_State_Macroeconomic_and_Demographic_Indicators.md,statistics,A,2026-09-25,no
EK-STA-INST-001,09_Statistics/institutions/EK-STA-INST-001_Ekiti_State_Bureau_of_Statistics.md,statistics,A,2026-09-25,no
EK-STA-INST-002,09_Statistics/institutions/EK-STA-INST-002_Ministry_of_Budget_and_Economic_Planning.md,statistics,A,2026-09-25,no
EK-STA-INST-003,09_Statistics/institutions/EK-STA-INST-003_NBS_Ekiti_State_Office.md,statistics,A,2026-09-25,no
EK-STA-INST-004,09_Statistics/institutions/EK-STA-INST-004_Ekiti_State_Spatial_Data_Infrastructure.md,statistics,A,2026-09-25,no
EK-STA-INST-005,09_Statistics/institutions/EK-STA-INST-005_EKSU_Department_of_Statistics.md,statistics,A,2026-09-25,no
EK-STA-PROG-001,09_Statistics/programmes/EK-STA-PROG-001_Ekiti_State_Statistical_Master_Plan.md,statistics,A,2026-09-25,no
EK-STA-PROG-002,09_Statistics/programmes/EK-STA-PROG-002_Annual_Abstract_of_Statistics_Series.md,statistics,A,2026-09-25,no
EK-STA-PROG-003,09_Statistics/programmes/EK-STA-PROG-003_Open_Data_Portal.md,statistics,A,2026-09-25,no
EK-STA-PROG-004,09_Statistics/programmes/EK-STA-PROG-004_State_GDP_and_Macroeconomic_Accounting.md,statistics,A,2026-09-25,no
EK-STA-PROG-005,09_Statistics/programmes/EK-STA-PROG-005_LGA_Level_Data_Decentralisation.md,statistics,A,2026-09-25,no
EK-STA-PROJ-001,09_Statistics/projects/EK-STA-PROJ-001_Digital_Census_Prep_GIS_Boundary_Mapping.md,statistics,A,2026-09-25,no
EK-STA-PROJ-002,09_Statistics/projects/EK-STA-PROJ-002_Realtime_Market_Price_CPI_Tracking.md,statistics,A,2026-09-25,no
EK-STA-PROJ-003,09_Statistics/projects/EK-STA-PROJ-003_Data_Bank_Modernisation.md,statistics,A,2026-09-25,no
EK-STA-SNAPSHOT-2024,09_Statistics/snapshots/EK-STA-SNAPSHOT-2024_State_of_Statistics.md,statistics,A,2024-11-15,no
EK-STA-SNAPSHOT-2026,09_Statistics/snapshots/EK-STA-SNAPSHOT-2026_Budget_and_Data_System.md,statistics,A,2025-12-20,no
EK-STA-TL-001,09_Statistics/timeline/EK-STA-TL-001.md,statistics,A,2026-09-25,no
EK-STA-TL-002,09_Statistics/timeline/EK-STA-TL-002.md,statistics,A,2026-09-25,no
EK-STA-TL-003,09_Statistics/timeline/EK-STA-TL-003.md,statistics,A,2026-09-25,no
EK-STA-TL-004,09_Statistics/timeline/EK-STA-TL-004.md,statistics,A,2026-09-25,no
EK-STA-TL-005,09_Statistics/timeline/EK-STA-TL-005.md,statistics,A,2026-09-25,no
EK-STA-TL-006,09_Statistics/timeline/EK-STA-TL-006.md,statistics,A,2026-09-25,no
EK-STA-TL-007,09_Statistics/timeline/EK-STA-TL-007.md,statistics,A,2026-09-25,no
EK-STA-TL-008,09_Statistics/timeline/EK-STA-TL-008.md,statistics,A,2026-09-25,no
EK-STA-TL-009,09_Statistics/timeline/EK-STA-TL-009.md,statistics,A,2026-09-25,no
EK-STA-TL-010,09_Statistics/timeline/EK-STA-TL-010.md,statistics,A,2026-09-25,no
EK-STA-TL-011,09_Statistics/timeline/EK-STA-TL-011.md,statistics,A,2026-09-25,no
EK-STA-TL-012,09_Statistics/timeline/EK-STA-TL-012.md,statistics,A,2026-09-25,no
EK-STA-TL-013,09_Statistics/timeline/EK-STA-TL-013.md,statistics,A,2026-09-25,no
EK-STA-TL-014,09_Statistics/timeline/EK-STA-TL-014.md,statistics,A,2026-09-25,no
EK-STA-TL-015,09_Statistics/timeline/EK-STA-TL-015.md,statistics,A,2026-09-25,no
