asset_id,related_timeline_id,image_filename,image_description,original_source,source_url,creator_owner,copyright_permission_status,attribution_required,verification_status,reviewer,image_treatment,notes
MED-EK002-01,EK-002,EK-002-bawa-first-gov.jpg,Lt. Col. Mohammed Inua Bawa — first Military Administrator of Ekiti State,AncestoryHub – Facebook post,https://www.facebook.com/AncestoryHub/posts/posthumous-birthday-april-06col-mohammed-bawa1954-2017former-military-administra/275844137454315/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Original image downloaded by Member 4; no AI-enhanced version used.
MED-EK003-01,EK-003,EK-003-atanda-yusuf.jpg,Chief Musbau Atanda Yusuf,Omotara Nurudeen – Facebook post,https://www.facebook.com/omotara.nurudeen/posts/a-farewell-ode-to-a-titan-chief-musbau-atanda-yusuf-milad-ekerin-of-ijayeland-aa/1710340726835014/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,"Confirm exact image, creator and reuse rights before public publication."
MED-EK004-01,EK-004,EK-004-federal-hospital-ido-ekiti.jpg,"Federal hospital, Ido-Ekiti",FIJ,https://fij.ng/article/missing-file-despite-governors-intervention-fth-ido-ekiti-frustrates-treatment-of-schoolgirl-who-lost-leg-in-an-accident/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Article page is traceable; image-specific creator/licence still needs confirmation.
MED-EK005-01,EK-005,EK-005-niyi-adebayo.jpg,Niyi Adebayo,Independent Nigeria,https://independent.ng/oyebanji-hails-first-civilian-governor-of-ekiti-niyi-adebayo-at-67/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Confirm image credit on source page.
MED-EK006-01,EK-006,EK-006-ekiti-house-of-assembly.jpg,Ekiti State House of Assembly,Ekiti State House of Assembly,https://www.hoa.ek.gov.ng/assets/image/gallery/assembly.png,Ekiti State House of Assembly / not individually credited,Rights not stated; reuse permission not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct institutional image URL supplied.
MED-EK007-01,EK-007,EK-007-ayodele-fayose-2003.jpg,Ayodele Fayose — 2003 record,THISDAY,https://www.thisdaylive.com/2025/11/14/tinubu-felicitates-ex-ekiti-gov-ayodele-fayose-at-65/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Confirm image credit and exact relationship to EK-007.
MED-EK010-01,EK-010,EK-010-tunji-olurin.jpg,Tunji Olurin,TheNiche,https://thenicheng.com/ex-military-governor-of-oyo-state-tunji-olurin-is-dead/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Source page supplied; image-specific rights pending.
MED-EK011-01,EK-011,EK-011-tope-ademiluyi-2007.jpg,"Tope Ademiluyi — Acting Governor, 2007",Adetope Ademiluyi – Facebook profile,https://www.facebook.com/adetope.ademiluyi/,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Profile URL is traceable but exact post/image provenance should be captured if available.
MED-EK012-01,EK-012,EK-012-segun-oni-2007.jpg,Segun Oni — 2007 record,Goke Ilesanmi website,https://gokeilesanmi.com.ng/wp-content/uploads/2020/05/segun-oni.jpg,Unknown / not established,Permission/reuse rights not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Direct image URL supplied; parent page and creator still need confirmation.
MED-EK013-01,EK-013,EK-013-afe-babalola-university.jpg,"Afe Babalola University, Ado-Ekiti",ABUAD,https://www.abuad.edu.ng/?p=archive,ABUAD / not individually credited,Rights not stated; reuse permission not established,Yes,Needs verification,Pending reviewer,Original downloaded image,Institutional archive source supplied.
