asset_id,related_timeline_id,asset_title,event_year,description,category,location,source,source_url,asset_url,creator_photographer,copyright_permission_status,attribution_required,verification_status,suggested_filename,cloudinary_public_id,cloudinary_url,notes_limitations,submitted_by,date_submitted
MED-EK002-01,EK-002,"Lt. Col. Mohammed Bawa, first military administrator",1996-1998,Portrait for the entry on Ekiti's first military administrator.,History,Statewide,AncestoryHub – Facebook post,https://www.facebook.com/AncestoryHub/posts/posthumous-birthday-april-06col-mohammed-bawa1954-2017former-military-administra/275844137454315/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-002-lt.-col.-mohammed-bawa-first-military-ad-1996.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK003-01,EK-003,"Navy Capt. Atanda Yusuf, administrator",1998-1999,Portrait for the entry on the second military administrator.,History,Statewide,Omotara Nurudeen – Facebook post,https://www.facebook.com/omotara.nurudeen/posts/a-farewell-ode-to-a-titan-chief-musbau-atanda-yusuf-milad-ekerin-of-ijayeland-aa/1710340726835014/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-003-navy-capt.-atanda-yusuf-administrator-1998.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK005-01,EK-005,"Niyi Adebayo, first elected civilian governor",1999-2003,Portrait for the entry on Ekiti's first elected civilian governor.,History,"Ado-Ekiti, Ado-Ekiti LGA",Independent Newspaper Nigeria,https://independent.ng/oyebanji-hails-first-civilian-governor-of-ekiti-niyi-adebayo-at-67/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-005-niyi-adebayo-first-elected-civilian-gove-1999.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK007-01,EK-007,"Ayo Fayose, governor (first term)",2003-2006,Portrait for the entry on Fayose's first term.,History,"Ado-Ekiti, Ado-Ekiti LGA",THISDAYLIVE,https://www.thisdaylive.com/2025/11/14/tinubu-felicitates-ex-ekiti-gov-ayodele-fayose-at-65/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-007-ayo-fayose-governor-first-term-2003.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK010-01,EK-010,"Tunji Olurin, administrator during the 2006-07 state of emergency",2006-2007,Portrait for the entry on the emergency administration.,History,"Ado-Ekiti, Ado-Ekiti LGA",TheNiche,https://thenicheng.com/ex-military-governor-of-oyo-state-tunji-olurin-is-dead/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-010-tunji-olurin-administrator-during-the-20-2006.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK011-01,EK-011,"Tope Ademiluyi, acting governor",2007,Portrait for the entry on the 2007 acting governor.,History,"Ado-Ekiti, Ado-Ekiti LGA",Adetope Ademiluyi – Facebook profile,https://www.facebook.com/adetope.ademiluyi/,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-011-tope-ademiluyi-acting-governor-2007.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use. This individual has no separate Wikipedia article; check the shared governors-list page's portrait table.",Member 4,2026-09-24
MED-EK012-01,EK-012,"Segun Oni, governor (first stint)",2007,Portrait for the 2007 swearing-in entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Goke Ilesanmi website,,https://gokeilesanmi.com.ng/wp-content/uploads/2020/05/segun-oni.jpg,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-012-segun-oni-governor-first-stint-2007.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK046-02,EK-046,"Tunji Odeyemi, acting governor",2009,Portrait for the 2009 acting-governor entry (Court of Appeal rerun period).,History,"Ado-Ekiti, Ado-Ekiti LGA",Ekiti State Government,https://www.ekitistate.gov.ng/archives/27893,,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-046-tunji-odeyemi-acting-governor-2009.jpg,none,none,"User supplied a traceable source page. Confirm the exact image on the page, identify creator/photographer where possible, and check licence/permission before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use. No separate Wikipedia article found; check the shared governors-list page.",Member 4,2026-09-24
MED-EK046-01,EK-046,"Segun Oni, governor (second stint)",2009,Portrait for Oni's return to office after the 2009 rerun.,History,"Ado-Ekiti, Ado-Ekiti LGA",Wikipedia: Olusegun Oni,https://en.wikipedia.org/wiki/Olusegun_Oni,,Unknown - check Wikimedia Commons file page,Needs verification,"Yes, per the licence",Needs verification,EK-046-segun-oni-governor-second-stint-2009.jpg,none,none,"Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use.",Member 4,2026-09-24
MED-EK014-01,EK-014,"Kayode Fayemi, governor (first term)",2010,Portrait for the 2010 swearing-in entry.,History,"Ado-Ekiti, Ado-Ekiti LGA",Kayode Fayemi website,,https://kfayemi.mckodev.com.ng/uploads/168081635687683filename.jpg,Unknown - check Wikimedia Commons file page,Permission/reuse rights not established,Yes,Needs verification,EK-014-kayode-fayemi-governor-first-term-2010.jpg,none,none,"User supplied a direct image/file URL. Original parent page/post, creator/photographer and reuse permission still need to be established before publication. Previous tracker note: Candidate: this person's portrait in the Wikipedia ""List of governors of Ekiti State"" infobox table, or on their own Wikipedia page. Neither page was opened to check the specific image file's Wikimedia Commons licence page; that check must happen before any download or use. Fayemi has also held federal ministerial office, so some of his photos online may come from press agencies with different rights; check carefully.",Member 4,2026-09-24
